MS SubClass,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Gr Liv Area,Bedroom AbvGr,TotRms AbvGrd,Fireplaces,Wood Deck SF,Pool Area,Mo Sold,Yr Sold,SalePrice,Bathrooms,Porch SF,Total SF
20,10400,7,5,1976,1976,1370,3,6,1,0,0,6,2009,152000,2,0,1370
60,28698,5,5,1967,1967,2126,3,7,0,486,0,6,2009,185000,3,225,2126
90,9842,4,5,1962,1962,1224,2,6,0,0,0,3,2007,101800,2,0,1224
90,7200,4,5,1949,1950,1040,2,6,0,0,0,6,2009,90000,2,0,1040
190,7627,4,6,1920,1950,1701,4,8,0,0,0,10,2009,94550,2,148,1701
60,10029,6,5,1988,1989,2060,4,8,1,0,0,9,2007,211000,3,420,2060
60,9660,8,5,1998,1998,1976,3,7,1,210,0,2,2006,286000,3,31,1976
20,11310,6,5,1954,1954,1375,2,5,1,0,0,6,2006,140000,1,30,1375
60,18450,6,5,1965,1979,2380,3,7,1,0,0,8,2007,129000,3,265,2380
20,10200,8,5,2007,2007,1602,3,7,1,0,0,1,2009,293200,2,243,1602
20,10712,5,5,1991,1992,974,3,5,0,0,0,9,2007,93500,1,28,974
20,18044,8,5,1986,1986,2726,2,6,1,216,228,8,2007,315000,3,233,2726
80,11084,7,5,2004,2004,1374,3,8,1,100,0,6,2007,175000,3,0,1374
20,7328,7,5,2008,2009,1450,2,6,0,0,0,2,2009,224243,2,93,1450
30,8250,5,7,1935,1950,1032,2,6,1,0,0,6,2006,125000,1,121,1032
160,4447,7,5,2003,2003,1080,2,4,0,0,0,7,2006,139000,3,50,1080
20,8128,6,7,1954,1954,1062,3,6,0,0,0,2,2009,131000,1,0,1062
120,5748,8,5,2005,2006,1778,2,5,1,123,0,2,2006,375000,2,206,1778
30,6120,5,6,1925,1999,995,2,5,0,0,0,3,2009,115000,1,66,995
20,10920,6,5,1960,1960,1253,2,5,1,0,0,5,2008,157000,2,389,1253
20,11767,5,5,1956,1956,1560,2,7,1,0,0,5,2009,103500,1,0,1560
180,3675,6,5,2005,2006,1072,2,5,0,0,0,10,2006,142500,1,44,1072
50,15600,5,7,1949,2005,1523,3,7,1,0,0,10,2009,158000,2,81,1523
60,8749,7,5,2002,2002,1725,3,6,0,0,0,11,2009,198500,3,48,1725
30,6000,5,7,1921,1950,616,2,4,0,0,0,6,2006,89000,1,129,616
120,4435,6,5,2004,2004,848,1,3,1,140,0,5,2006,155900,1,0,848
20,16870,8,5,2004,2005,1782,3,7,2,99,0,4,2009,296000,2,82,1782
20,10237,6,5,2005,2006,1316,3,6,1,100,0,10,2006,169990,2,23,1316
20,9571,5,6,1956,1956,1144,3,6,0,44,0,6,2010,129000,1,0,1144
20,15750,8,5,1999,2000,1513,2,5,1,135,0,6,2009,220000,2,34,1513
20,8000,7,5,2002,2002,1492,3,6,1,277,0,4,2010,230000,2,137,1492
